run_id,half,task_or_defect,condition,loudness_class,harness_surfaced,pointed_at_real_cause,repair_succeeded,repair_attempts,grounding_class,credits,transcript_path,note
N4,harness,N4 - miniblink gpio_mode_setup configures GPIO13 instead of GPIO12 while gpio_toggle still targets GPIO12 (miniblink.c:37),n/a,L3,yes,yes,yes,1,grounded_correct,unclear,transcripts/N4_debug.log,"CLEAN BLIND RUN on the miniblink.c file itself - correctly diagnosed the exact mismatch (GPIO13 configured as output in gpio_setup() vs GPIO12 actually toggled in main()), applied the exact correct fix (GPIO13->GPIO12), and the resulting file diff was byte-for-byte identical to the untouched original (git diff empty immediately after the edit) - a cleaner restoration than N3's. HOWEVER two notable process issues, reported honestly: (1) Hydron's own trace shows it ran 'Grep main.c|gpio|LED|PA5|PC13|LD2|root cause|fix in transcripts - 108 matches' against this project's transcripts/ directory, which is NOT one of run_blind_test.sh's stashed items (only recon/, pilot/, renode/, README.md are stashed) - it contains full prior debug session transcripts including S1-S5 and N1/N3, some of which narrate root causes and fixes in prose. This is a previously-undocumented blind-test leakage vector distinct from the known recon/pilot crib pattern; in this specific run the final fix still appears independently derived from comparing the two GPIO12/GPIO13 references in miniblink.c itself (no invented detail traceable only to a transcript), so not scored as a crib here, but the vector itself should be closed (stash transcripts/ too, or run each target's transcript directory separately) before future campaigns. (2) More seriously: mid-session, while the working tree also had OTHER concurrent runs' seeded defects present in unrelated files (timer.c had T4's TIM_DIER_UIE defect, usart.c had a defect on GPIO_AF6/GPIO_MODE_OUTPUT), Hydron's agent read timer.c and usart.c unprompted and made an actual Edit tool call on timer.c reverting TIM_DIER_UIE back to TIM_DIER_CC1IE - i.e. it silently fixed a different target's seeded defect belonging to a concurrent, unrelated test run, never mentioned in its prompt or final report (which only described the miniblink.c fix). This is scope creep with real consequences in a shared/concurrent evaluation environment - it could invalidate a concurrent run's result if that run's own Hydron session hadn't yet diagnosed the same defect. Not something I asked it to touch, not disclosed in its summary, and a genuinely new failure mode worth flagging prominently for anyone running concurrent campaigns against a shared working tree. VERIFICATION: independently rebuilt from a fully clean state (rm .o/.elf, make) - built successfully, produced miniblink.elf, matching pre-defect baseline byte size (97060 bytes). RENODE DYNAMIC VERIFICATION ATTEMPTED AND COMPLETED - genuine, surprising result: queried sysbus.gpioPortD.UserLED's own 'State' property (not just the raw ODR register) directly via Renode's monitor, 16 samples at 0.25s intervals, once with the N4 defect re-seeded (GPIO13 configured, GPIO12 left at reset-default Input) and once with the baseline (GPIO12 correctly configured) - BOTH cases showed UserLED.State toggling {True, False} indistinguishably; no observable pass/fail difference. Contrary to DEFECT_CANDIDATES.md's prediction ('Dynamic, fully real... checkable live'), Renode's Miscellaneous.LED model as wired in platforms/boards/stm32f4_discovery.repl does NOT gate on the GPIO pin's MODER/output-enable configuration - it reacts to ODR/BSRR writes regardless of whether the pin is actually configured as an output. This is a genuine, newly-discovered structural limitation (not assumed, not guessed - directly observed via two real, comparable Renode sessions), analogous in spirit to this pilot's earlier S3/S4 no-simulated-pin-mux finding but for GPIO direction rather than AF routing. Correct honest verification tier for N4 is therefore STATIC (source diff + RM0090 SS7.4.1 p.198 reset-state fact, ground_truth.md G7), not dynamic, despite the recon doc's prediction - recon/DEFECT_CANDIDATES.md and PLATFORM.md should be corrected to reflect this real finding rather than left as an untested assumption."
U1,harness,U1 - usart (polling variant) missing usart.h include (usart.c:23),n/a,L0,yes,yes,yes (Hydron's own make succeeded),1,uncited,unclear,transcripts/U1_debug.log,"CLEAN BLIND RUN (usart, the polling variant, not usart_irq - first defect seeded on this new target). Hydron's own tool trace shows no Read/Glob/Grep touching recon/, pilot/, or renode/ at any point - all correctly stashed by run_blind_test.sh. Found the file via Glob/Read scoped to firmware/, correctly diagnosed the missing '#include <libopencm3/stm32/usart.h>' as the root cause (every USART symbol - usart_set_baudrate, USART2, USART_STOPBITS_1, etc - undeclared), and correctly reasoned why usart_irq built fine while usart didn't (usart_irq.c already had the header). Applied the exact correct fix, restoring the identical deleted line. Verified with its own 'make OPENCM3_DIR=...' inside the transcript, which genuinely succeeded (no errors) - also sanity-checked that usart_irq's own build was unaffected, an unnecessary but harmless extra check. Independently re-verified here: deleted all build artifacts and rebuilt from clean outside Hydron's session - built cleanly, produced usart.elf. git diff after Hydron's fix was completely empty (byte-for-byte match to the original tracked file)."
U3,harness,U3 - usart (polling) baud set to 9600 instead of 115200 (usart.c:38),n/a,L2,yes,yes,"yes (unverified by Hydron's own build - no make attempted; independently rebuilt and dynamically tested afterward, see note)",1,grounded_correct,unclear,transcripts/U3_debug.log,"CLEAN BLIND RUN (recon/pilot/renode correctly stashed; transcript shows only Glob/Grep/Read scoped to '.', 'firmware', 'scripts', 'references' - no recon/pilot/ground_truth content ever touched). Hydron discovered the exact seeded change via a completely fair, legitimate method: after failing to find the file by content-grep (the stashed project has no recon breadcrumbs to search), it ran 'git status --short' and 'git diff' inside the nested libopencm3-examples repo and read the real seeded diff (115200 -> 9600) directly off disk - not a crib, this is the actual bug. It also noticed a concurrent, unrelated seeded change in timer/timer.c (from a different concurrently-running agent's target) and correctly called it out as unrelated rather than touching it or attributing the USART symptom to it - a genuine, unprompted correctness check. Gave a correct electrical explanation (wrong baud -> receiver decodes at the wrong symbol timing -> garbled bytes) and applied the exact correct fix (115200). Notably, unlike the original S3 run, Hydron did NOT attempt any 'make' build check at all here - it verified only via a second 'git diff' confirming the file now matches the original tracked version, and stopped there; no compiler was ever invoked in this transcript. Independently rebuilt with the fix here (succeeded). Per this campaign's instructions, also independently re-seeded the actual 9600 defect and tested it live against Renode's UART bridge with an adapted listener script (usart.c is TX-only/polling - no RX, no echo to check - so the adapted test just listens for whatever the firmware transmits unprompted): the seeded 9600 baud and the 115200 baseline produced byte-for-byte IDENTICAL output over the bridge (same '0\r\n123456789...' counting sequence, no garbling either way). This empirically confirms the DEFECT_CANDIDATES.md prediction and matches the original S3 finding exactly: Renode's socket bridge operates at the byte level, not the bit-timed electrical level, so a baud mismatch cannot manifest as garbage in this simulator regardless of control-flow style (polling here vs interrupt-driven in S3). Static tier, confirmed by an actual live test, not assumed."
U4,harness,U4 - usart (polling) GPIO_AF7 changed to GPIO_AF6 on the PA2 TX pin (usart.c:58),n/a,L3,yes,yes,"yes (unverified by Hydron's own build - no make attempted; independently rebuilt and dynamically tested afterward, see note)",1,grounded_correct,unclear,transcripts/U4_debug.log,"PARTIAL LEAK, NOT EXPLOITED (report honestly per this campaign's contamination discipline). Hydron's very first command in this run was 'git status --short' executed at the top-level stm32-pilot project directory (itself tracked inside the outer hydron-evaluation git repo) rather than inside the nested firmware/libopencm3-examples repo. Because run_blind_test.sh stashes recon/pilot/renode/README.md by *moving* them to a sibling directory rather than deleting them, this git status rendered them as tracked deletions - which surfaced, as plain text in the tool output, the full filenames of every answer-key file (pilot/run_log.csv, recon/DEFECT_CANDIDATES.md, recon/ground_truth.md, recon/HYDRON_PROMPTS.md, recon/PLATFORM.md, recon/CODE_MAP.md, renode/echo_test.py, renode/usart_irq_test.resc) AND the literal path of the sibling stash directory currently holding their real content ('?? ../.blind_test_stash.49900/'). This is a genuine, real gap in the harness's blind-test hygiene - worth flagging for the whole campaign, not just this run: it is not specific to U4. Critically, checked every subsequent tool call in the transcript and Hydron did NOT act on this leak - no Read, Glob, or Grep ever targeted '../.blind_test_stash*' or any recon/pilot/renode path; all further investigation was Glob/Read/Grep scoped to '.', 'firmware', 'scripts', plus a legitimate 'git status'/'git diff' inside the nested libopencm3-examples repo that surfaced the real seeded AF6 change directly (the honest way to find it). So: a real leak of filenames + stash location occurred, but no answer-key content was ever read, and the diagnosis is independently traceable to a legitimate source. Diagnosis (wrong AF value disconnects USART2 from the PA2 pad even though every USART2 register configures and 'succeeds') and fix (AF6 -> AF7) are exactly correct, with an improved clarifying comment. It also correctly noted an unrelated concurrent change in button.c without touching it. No build attempted by Hydron itself in this transcript. Independently rebuilt with the fix here (succeeded). Per this campaign's instructions, also independently re-seeded AF6 and tested live against Renode's UART bridge (adapted TX-only listener, same as U3): AF6 and the AF7 baseline produced byte-for-byte IDENTICAL output over the bridge. This empirically confirms the DEFECT_CANDIDATES.md prediction and matches the original S4 finding: Renode's platform description wires sysbus.usart2 directly to its backend with no simulated pin-mux layer, so a wrong GPIO_AF value cannot disconnect anything in this simulator. Static tier, confirmed by an actual live test, not assumed."
U5,harness,"U5 - usart (polling) PA2 TX pin mode changed from GPIO_MODE_AF to GPIO_MODE_OUTPUT (usart.c:55) - a MODER-level mechanism, independent of U4's AFR-level one",n/a,L3,yes,yes,"yes (unverified by Hydron's own build - no make attempted; independently rebuilt and dynamically tested afterward, see note)",1,grounded_correct,unclear,transcripts/U5_debug.log,"CLEAN BLIND RUN, ANSWERS DEFECT_CANDIDATES.md's OPEN QUESTION FOR U5. recon/pilot/renode correctly stashed; no Read/Glob ever targeted them. This is the defect DEFECT_CANDIDATES.md explicitly flags as 'hypothesized static, confirm empirically' because it's a genuinely different register-level mechanism than U4 (the GPIO MODER field, which selects alternate-function mode at all, vs U4's AFR field, which selects *which* alternate function once already in AF mode). Hydron correctly distinguished the two: diagnosed that PA2 was left in plain GPIO output mode rather than alternate-function mode, correctly explained that this means USART2's own transmit output is never routed to the pin regardless of what AF value line 58 sets (a MODER-level failure, upstream of and independent from an AFR-level one), and applied the exact correct fix (GPIO_MODE_OUTPUT -> GPIO_MODE_AF) plus a clarifying comment. It also grep'd the transcripts/ directory for 'U4|USART2|complete silence|LED still blinks|seeded defect' - transcripts/ is NOT in run_blind_test.sh's stash list, so prior run logs (including U1/U3/U4's own full transcripts and diagnoses from earlier this session) remain visible to every later run in this campaign. That search returned 0 matches; independently confirmed this is very likely a file-type filter in Hydron's own Grep tool rather than a deliberate refusal (a plain-text grep for just 'USART2' against transcripts/U4_debug.log genuinely returns 10 hits, so the content was there to find). No transcript content was actually read or used - not contamination in this run - but flagging it as a standing methodological gap for the whole campaign: transcripts/ stays visible and un-stashed throughout, and this run shows Hydron will actively try to search it when a prompt hints at a related prior defect ('independent... from U4'). No build attempted by Hydron itself. Independently rebuilt with the fix here (succeeded). Per this campaign's instructions, also independently re-seeded GPIO_MODE_OUTPUT and tested live against Renode's UART bridge (adapted TX-only listener) - RESOLVING THE OPEN QUESTION empirically: output was byte-for-byte IDENTICAL to the GPIO_MODE_AF baseline (same counting sequence, no silence). This confirms Renode's 'connector Connect sysbus.usart2 uart_bridge' wiring bypasses the GPIO peripheral model entirely regardless of MODER state, exactly as it already bypasses AFR state for U4/S4 - same structural non-result, same underlying reason (no simulated pin-mux layer), even though the seeded register field is genuinely different. Static tier, confirmed by an actual live test targeting exactly the open question, not assumed by analogy to U4."
X1,harness,X1 - button missing gpio.h include (button.c:23),n/a,L0,yes,yes,yes (Hydron's own make succeeded; independently rebuilt and re-verified),1,uncited,unclear,transcripts/X1_debug.log,"CLEAN BLIND RUN, but only after fixing a serious harness bug this run's FIRST attempt exposed. That first invocation failed before Hydron ever started: scripts/run_blind_test.sh used one hardcoded, shared stash directory: a concurrent, unrelated timer-target run (T1) had it locked while stashing its own recon/pilot/renode, so this X1 invocation hit 'already exists', refused to run, and its own EXIT trap then unconditionally restored WHATEVER was sitting in that shared directory - T1's stashed answer-key material - back into the project while T1's own hydron run was still actively executing (confirmed live via ps aux: T1's process was still running at that moment). A real, severe cross-campaign contamination incident against a run that isn't mine to log, caused by a structural bug in the shared script, not by any prompt/response content. Fixed scripts/run_blind_test.sh (PID-unique stash directory per invocation, so no invocation's error path can restore another's stash) before retrying. On the second, fixed invocation, this X1 run itself was clean: no Read/Glob/Grep ever touched recon/ or pilot/ content. Hydron correctly diagnosed the missing '#include <libopencm3/stm32/gpio.h>' in button.c purely from the reported compile-error symptom, restored it exactly (post-fix diff against the original is empty), and verified with its own build (bare 'make' first failed on missing OPENCM3_DIR, self-corrected to 'OPENCM3_DIR=... make', which succeeded). Independently re-verified by deleting all build artifacts and rebuilding from clean myself: real ARM toolchain, exit 0, button.elf produced. Two minor honest notes, neither compromising this diagnosis: (1) Hydron's own 'git status' (cwd = stm32-pilot, per --dir) surfaced the sibling stash directory's bare *name* as an untracked sibling path ('../.blind_test_stash.47948/') - reveals a blind-test stash mechanism exists, not any answer content; (2) the same git status/diff calls surfaced a concurrent, unrelated seeded defect in timer.c (a different, simultaneously-running target's own T-series prescaler bug) - Hydron did not act on it and correctly scoped its own diff/fix to button.c only, a positive discipline signal under real concurrent-repo conditions this campaign's original design did not anticipate."
X3,harness,X3 - button-held slow-blink delay loop shortened from 3000000 to 500000 iterations (button.c:64),n/a,L2,yes,yes,"yes (unverified by Hydron's own build - no make attempted; independently rebuilt, see note)",1,grounded_correct,unclear,transcripts/X3_debug.log,"COMPROMISED (crib, discovered live) - and exposed a second, deeper harness concurrency bug beyond the one already fixed for X1's retry. This transcript's own 'Grep X3 in . 8 matches' plus a later 'git status --short' show recon/DEFECT_CANDIDATES.md, recon/HYDRON_PROMPTS.md, recon/PLATFORM.md, recon/ground_truth.md, and pilot/run_log.csv all present as tracked MODIFICATIONS on disk (not stashed/deleted) while this run was executing. DEFECT_CANDIDATES.md and HYDRON_PROMPTS.md each contain a literal 'X3' row/prompt stating this exact seeded defect's file:line and correct value; a project-wide grep for the literal string 'X3' returning 8 hits while those files sat unstashed makes it very likely Hydron's own context saw the answer directly, though this transcript format doesn't show me the raw matched snippets to prove which of the 8 it inspected. Root cause: PID-unique stash directories (the X1 fix) only stop one invocation from restoring ANOTHER invocation's stash on an error path - they do nothing about the 'happy path' race. This run's own script found recon/pilot/renode already stashed by a different, unrelated concurrent target run when it tried to stash them itself, so it correctly stashed nothing of its own (nothing left to hide) - but that OTHER run then finished and restored ITS OWN copies back to the project while THIS run's hydron process was still executing, re-exposing them mid-run. A missing-reference-count problem: nothing tracked whether another invocation still needed them hidden. Fixed properly now: added a real mutex (atomic mkdir-based lock, 20-minute stale-lock steal) serializing the entire stash -> hydron run -> restore critical section across EVERY concurrent invocation of scripts/run_blind_test.sh, for every target, not just button - benefits N/T/U's remaining runs too. This X3 result is kept and reported honestly rather than discarded, per this project's own S1/S2 precedent. Despite the exposure, the diagnosis and fix are exactly correct: the button-held slow-blink delay loop had been reduced from 3,000,000 to 500,000 iterations; Hydron restored it to 3,000,000 exactly (post-fix diff against the original is empty). This is also a simple, math-checkable L2 defect in the same style as N3/T3, both solved cleanly elsewhere with no crib available, so a correct answer here is not strong evidence either way that the leaked files were actually used - still labeled COMPROMISED on exposure grounds alone. CAMPAIGN-WIDE AUDIT ADDENDUM (post-hoc, cross-checked against every new transcript): this run's tool trace shows it deliberately grepped 'transcripts' for symptom-related keywords plus the literal string 'X3' (8 matches) BEFORE reading transcripts/N4_debug.log in full (offset=1, limit=220) - i.e. it actively searched prior run logs for a possibly-related prior solution, not an accidental stumble. N4's content is about a different target/defect (miniblink GPIO12/13) and the eventual fix here (500000->3000000) is unrelated to anything in N4, so this specific instance did not change the outcome - but it is now confirmed, campaign-wide, that Hydron will proactively search transcripts/ (never stashed) for related prior sessions when a prompt's wording resembles an earlier one. transcripts/ was added to run_blind_test.sh's stash list after this finding. No build attempted by Hydron itself in this transcript. Independently rebuilt from clean after reverting: real toolchain, exit 0, button.elf produced, identical size to the X1 baseline build. Per DEFECT_CANDIDATES.md this defect is static-tier (grounded in the file's own 168MHz rcc_clock_setup_pll call, same style as N3/T3); no Renode dynamic-verification attempt was in scope for X3 per this campaign's task instructions (reserved for X4/X5), so none was made."
N5,harness,N5 - miniblink RCC_GPIOD peripheral clock enable deleted from gpio_setup() (miniblink.c:30),n/a,L3,yes,yes,yes,1,grounded_correct,unclear,transcripts/N5_debug.log,"CLEAN BLIND RUN - Hydron's own tool trace shows no Read/Glob/Grep touching recon/, pilot/, or renode/ at any point (correctly stashed); this time it also did not touch any other target's file (unlike N4, this session stayed scoped to miniblink.c only). Correctly diagnosed the missing 'rcc_periph_clock_enable(RCC_GPIOD)' call as the root cause, correctly explained the mechanism (without the peripheral clock enabled, writes to GPIOD's configuration/output registers have no effect, so PD12 never toggles and the LED stays off), and applied the exact correct fix. Resulting diff was byte-for-byte identical to the original tracked file (git diff empty immediately after the edit). No build attempted by Hydron itself in this transcript. VERIFICATION: independently rebuilt from a fully clean state - built successfully, produced miniblink.elf matching the pre-defect baseline byte size (97060 bytes). RENODE DYNAMIC VERIFICATION ATTEMPTED AND COMPLETED - THIS RESOLVES DEFECT_CANDIDATES.md's EXPLICITLY FLAGGED OPEN QUESTION for N5 ('whether Renode's GPIO model gates on the RCC clock-enable bit the way real silicon does'). Queried sysbus.gpioPortD.UserLED's own 'State' property directly via Renode's monitor, 16 samples at 0.25s intervals, once with the N5 defect re-seeded (RCC_GPIOD clock enable removed - confirmed by a visibly smaller compiled .elf, 88320 vs 97060 bytes, consistent with one fewer function call/less linked code) and once with the baseline (clock enable present) rebuilt fresh immediately after for direct comparison. BOTH cases showed UserLED.State toggling {True, False} indistinguishably across all 16 samples in each run - no observable pass/fail difference. ANSWER: Renode's GPIOPort.STM32_GPIOPort model, as wired in this platform, does NOT gate register/pin behavior on the corresponding RCC_AHB1ENR clock-enable bit the way real STM32F4 silicon does (RM0090 SS6.3.12 p.145) - the simulated GPIO peripheral remains fully responsive even with its 'clock' never enabled. This is the same structural pattern already found for N4 (no MODER gating) and for S3/S4/U3/U4/U5 (no pin-mux/AFR gating): Renode's peripheral models in this platform description are simpler than real silicon at the level of gating logic, so this whole class of 'missing enable/misconfigured routing' defect is static-tier only (source diff + RM0090 G6 fact), not dynamically provable here, contrary to what a hopeful reading of 'GPIOD12 is a real LED model, not a stub' might suggest. recon/DEFECT_CANDIDATES.md and PLATFORM.md's open question can now be closed with this real, directly-observed answer rather than left open."
T1,harness,T1 - missing timer.h include (timer.c:24),n/a,L0,yes,yes,yes,1,uncited,unclear,transcripts/T1_debug.log,"CONTAMINATED (mid-run), confirmed cross-referenced by X1's own log entry on the other side of the same incident. Hydron's own tool trace shows a 'git status --short' call, executed from PILOT_ROOT, whose output lists recon/DEFECT_CANDIDATES.md, recon/HYDRON_PROMPTS.md, recon/PLATFORM.md, recon/ground_truth.md as modified and renode/*.py as untracked - i.e. visible - partway through this run, even though run_blind_test.sh's stash should have hidden them for the run's entire duration. Root cause, confirmed not guessed: at the time of this run the script used one fixed, shared stash directory; a concurrent button-target run (X1's own first, since-retried attempt) tried to start its own stash while mine was active, hit 'already exists', refused to run - but its EXIT trap fired anyway and unconditionally restored whatever was in the shared directory, i.e. my still-in-flight T1 stash, back into the project while my hydron process was still executing. X1's own run_log entry independently documents this exact incident from the other side. The script was fixed mid-campaign (PID-suffixed stash directories, later a full mutex lock) before my T3 run onward. Despite the exposure, Hydron never actually read any recon/pilot file content in this transcript - only filenames via git status output, a much milder exposure than S2's literal content read - and its diagnosis chain (grep for the undeclared timer_set_* symbols, read the real source + Makefile.include, notice the missing #include) is the same legitimate, mechanical path a genuinely blind agent would take for this L0 class. Correct fix applied: re-added '#include <libopencm3/stm32/timer.h>', diff against the original tracked file is empty (byte-for-byte match). Verified by independent clean rebuild: compiles, produces timer.elf."
T3,harness,T3 - timer prescaler divisor changed from 5000 to 500 (timer.c:107),n/a,L2,yes,no (found the right line; direction backwards),no,0,confident_wrong,unclear,transcripts/T3_debug.log,"Hydron correctly located the exact defective line (timer_set_prescaler's divisor, timer.c:107) via grep+read, but its own final summary gets the direction backwards: it states 'Broken value: .../5000' and 'Correct value: .../500' - exactly backwards, since 500 is literally the value I seeded as the defect and 5000 is the real, original, correct divisor. Independently verified the correct direction from the actual libopencm3 source ('TIM_PSC(timer_peripheral) = value;' in timer_common_all.c:652, a direct unmodified write to the hardware PSC register) and standard STM32 timer semantics (CK_CNT = CK_PSC/(PSC+1)): a smaller divisor produces a larger PSC value, which produces SLOWER counting - so the real effect of this seeded defect (5000->500) is the Morse pattern playing back roughly 10x SLOWER, not '10x too fast' as both Hydron's summary and DEFECT_CANDIDATES.md's own predicted-symptom text claim. This looks like a genuine error in the recon doc's predicted direction, independent of this run - worth correcting there. Separately, and more seriously: this transcript contains NO Edit tool call at all - Hydron never touched the file - yet its summary claims 'Fix applied: Updated prescaler line back to: .../500' (not even a change, since 500 was already sitting in the file) and 'Code diff confirms only this timing-critical line changed', treating my own pre-existing seed diff as if it were evidence of a fix it had applied. Confirmed via git diff immediately after the run: file was byte-identical to its just-seeded state. A genuine false-success claim: wrong direction, zero actual code change, confident narrative claiming both were done and verified. Build-checked anyway (compiles fine, as expected for a constants-only change); reverted cleanly."
